Naruto the Movie 2: Legend of the Stone of Gelel,Hirotsugu Kawasaki,2005,97 min,Action & Adventure_ Anime Features_ International Movies,While on a mission to return a missing pet_ Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin.
Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Toshiyuki Tsuru,2006,95 min,Action & Adventure_ Anime Features_ International Movies,Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son_ Hikaru_ to the Crescent Moon kingdom.
Naruto the Movie: Ninja Clash in the Land of Snow,Tensai Okamura,2004,83 min,Action & Adventure_ Anime Features_ International Movies,Naruto_ Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film_ but it turns out she's a princess.
Nightbooks,David Yarovesky,2021,103 min,Children & Family Movies,Scary story fan Alex must tell a spine-tingling tale every night — or stay trapped with his new friend in a wicked witch's magical apartment forever.
Numberblocks,,2021,6 Seasons,Kids' TV,In a place called Numberland_ math adds up to tons of fun when a group of cheerful blocks work_ play and sing together.
Raja Rasoi Aur Anya Kahaniyan,,2014,1 Season,Docuseries_ International TV Shows,Explore the history and flavors of regional Indian cuisine_ from traditional Kashmiri feasts to the vegetarian dishes of Gujarat.
Saved by the Bell,,1994,9 Seasons,Kids' TV_ TV Comedies,From middle school to college_ best friends Zack_ Kelly_ Slater_ Jessie_ Screech and Lisa take on the highs and lows of life together in this hit series.
Schumacher,Hanns-Bruno Kammertöns_ Vanessa Nöcker_ Michael Wech,2021,113 min,Documentaries_ International Movies_ Sports Movies,Through exclusive interviews and archival footage_ this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher.
Stories by Rabindranath Tagore,,2015,1 Season,International TV Shows_ TV Dramas,The writings of Nobel Prize winner Rabindranath Tagore come to life in this collection of tales set in early-20th-century Bengal.
Too Hot To Handle: Latino,,2021,1 Season,International TV Shows_ Reality TV_ Romantic TV Shows,On this reality show_ singles from Latin America and Spain are challenged to give up sex. But here_ abstinence comes with a silver lining: US$100_000.
A StoryBots Space Adventure,David A. Vargas,2021,13 min,Children & Family Movies,Join the StoryBots and the space travelers of the historic Inspiration4 mission as they search for answers to kids' questions about space.
Jack Whitehall: Travels with My Father,,2021,5 Seasons,British TV Shows_ Docuseries_ International TV Shows,Jovial comic Jack Whitehall invites his stuffy father_ Michael_ to travel with him through Southeast Asia in an attempt to strengthen their bond.
King of Boys,Kemi Adetiba,2018,182 min,Dramas_ International Movies,When a powerful businesswoman’s political ambitions are threatened by her underworld connections_ the ensuing power struggle could cost her everything.
The World's Most Amazing Vacation Rentals,,2021,2 Seasons,Reality TV,With an eye for every budget_ three travelers visit vacation rentals around the globe and share their expert tips and tricks in this reality series.
You vs. Wild: Out Cold,Ben Simms,2021,106 min,Children & Family Movies,After a plane crash leaves Bear with amnesia_ he must make choices to save the missing pilot and survive in this high-stakes interactive adventure.
Yowamushi Pedal,,2013,1 Season,Anime Series_ International TV Shows,A timid_ anime-loving teen gets drawn into a school cycling club_ where his new friends help him face tough challenges to develop his racing talent.
Little Singham - Black Shadow,Prakash Satam,2021,48 min,Children & Family Movies_ Comedies,Kid cop Little Singham loses all his superpowers while trying to stop the demon Kaal’s new evil plans! Can his inner strength help him defeat the enemy?
Tughlaq Durbar,Delhiprasad Deenadayalan,2020,145 min,Comedies_ Dramas_ International Movies,A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.
Tughlaq Durbar (Telugu),Delhiprasad Deenadayalan,2021,145 min,Comedies_ Dramas_ International Movies,A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.
Firedrake the Silver Dragon,Tomer Eshed,2021,93 min,Children & Family Movies,When his home is threatened by humans_ a young dragon summons the courage to seek a mythical paradise where dragons can live in peace and fly free.
Kate,Cedric Nicolas-Troyan,2021,106 min,Action & Adventure,Slipped a fatal poison on her final job_ a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge.
Lucifer,,2021,6 Seasons,Crime TV Shows_ TV Comedies_ TV Dramas,Bored with being the Lord of Hell_ the devil relocates to Los Angeles_ where he opens a nightclub and forms a connection with a homicide detective.
Metal Shop Masters,,2021,1 Season,Reality TV,On this competition show_ a group of metal artists torch_ cut and weld epic_ badass creations from hardened steel. Only one will win a $50_000 prize.
Omo Ghetto: the Saga,JJC Skillz_ Funke Akindele,2020,147 min,Action & Adventure_ Comedies_ Dramas,Twins are reunited as a good-hearted female gangster and her uptight rich sister take on family_ crime_ cops and all of the trouble that follows them.
Pokémon Master Journeys: The Series,,2021,1 Season,Anime Series_ Kids' TV,As Ash battles his way through the World Coronation Series_ Goh continues his quest to catch every Pokémon. Together_ they're on a journey to adventure!
Prey,Thomas Sieben,2021,87 min,International Movies_ Thrillers,A hiking trip into the wild turns into a desperate bid for survival for five friends on the run from a mysterious shooter.
Titipo Titipo,,2019,2 Seasons,Kids' TV_ Korean TV Shows,Titipo the train is out to prove that he's got what it takes to help the folks of Train Village ride the rails safely and reliably.
Blood Brothers: Malcolm X & Muhammad Ali,Marcus Clarke,2021,96 min,Documentaries_ Sports Movies,From a chance meeting to a tragic fallout_ Malcolm X and Muhammad Ali's extraordinary bond cracks under the weight of distrust and shifting ideals.
Mighty Raju,,2017,4 Seasons,Kids' TV,Born with superhuman abilities_ young Raju wants to use his powers to make the world a better place — but that will mean facing plenty of challenges!
Paradise Hills,Alice Waddington,2019,95 min,Sci-Fi & Fantasy_ Thrillers,Uma wakes up in a lush tropical facility designed to turn willful girls into perfect ladies. That’s bad enough_ but its real purpose is even worse.
The Women and the Murderer,Mona Achache_ Patricia Tourancheau,2021,92 min,Documentaries_ International Movies,This documentary traces the capture of serial killer Guy Georges through the tireless work of two women: a police chief and a victim's mother.
Into the Night,,2021,2 Seasons,International TV Shows_ TV Dramas_ TV Mysteries,Passengers and crew aboard a hijacked overnight flight scramble to outrace the sun as a mysterious cosmic event wreaks havoc on the world below.
JJ+E,Alexis Almström,2021,91 min,Dramas_ International Movies_ Romantic Movies,Elisabeth and John-John live in the same city_ but they inhabit different worlds. Can a passionate first love break through class and cultural barriers?
Show Dogs,Raja Gosnell,2018,90 min,Children & Family Movies_ Comedies,A rough and tough police dog must go undercover with an FBI agent as a prim and proper pet at a dog show to save a baby panda from an illegal sale.
The Circle,,2021,3 Seasons,Reality TV,Status and strategy collide in this social experiment and competition show where online players flirt_ befriend and catfish their way toward $100_000.
If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Stephen Kijak,2018,97 min,Documentaries_ Music & Musicals,Using interviews and archival footage_ this documentary charts the story of the legendary Southern rockers with a focus on front man Ronnie Van Zant.
Kid Cosmic,,2021,2 Seasons,Kids' TV_ TV Comedies_ TV Sci-Fi & Fantasy,A boy's superhero dreams come true when he finds five powerful cosmic stones. But saving the day is harder than he imagined — and he can't do it alone.
Octonauts: Above & Beyond,,2021,1 Season,British TV Shows_ Kids' TV,The Octonauts expand their exploration beyond the sea — and onto land! With new rides and new friends_ they'll protect any habitats and animals at risk.
On the Verge,,2021,1 Season,TV Comedies_ TV Dramas,Four women — a chef_ a single mom_ an heiress and a job seeker — dig into love and work_ with a generous side of midlife crises_ in pre-pandemic LA.
Tobot Galaxy Detectives,,2019,2 Seasons,Kids' TV,An intergalactic device transforms toy cars into robots: the Tobots! Working with friends to solve mysteries_ they protect the world from evil.
Untold: Breaking Point,Chapman Way_ Maclain Way,2021,80 min,Documentaries_ Sports Movies,Under pressure to continue a winning tradition in American tennis_ Mardy Fish faced mental health challenges that changed his life on and off the court.
Countdown: Inspiration4 Mission to Space,Jason Hehir,2021,1 Season,Docuseries_ Science & Nature TV,From training to launch to landing_ this all-access docuseries rides along with the Inspiration4 crew on the first all-civilian orbital space mission.
Shadow Parties,Yemi Amodu,2020,117 min,Dramas_ International Movies_ Thrillers,A family faces destruction in a long-running conflict between communities that pits relatives against each other amid attacks and reprisals.
Tayo the Little Bus,,2016,2 Seasons,Kids' TV_ Korean TV Shows,As they learn their routes around the busy city_ Tayo and his little bus friends discover new sights and go on exciting adventures every day.
Angamaly Diaries,Lijo Jose Pellissery,2017,128 min,Action & Adventure_ Comedies_ Dramas,After growing up amidst the gang wars of his hometown_ Vincent forms an entrepreneurial squad of his own and ends up on the wrong side of the law.
Bunk'd,,2021,5 Seasons,Kids' TV_ TV Comedies,"The Ross siblings of Disney's hit series ""Jessie"" spend a summer full of fun and adventure at Maine's Camp Kikiwaka_ where their parents first met."
A Champion Heart,David de Vos,2018,90 min,Children & Family Movies_ Dramas,When a grieving teen must work off her debt to a ranch_ she cares for a wounded horse that teaches her more about healing than she expected.
Dive Club,,2021,1 Season,Kids' TV_ TV Dramas_ Teen TV Shows,On the shores of Cape Mercy_ a skillful group of teen divers investigate a series of secrets and signs after one of their own mysteriously goes missing.
La casa de papel,,2021,5 Seasons,Crime TV Shows_ International TV Shows_ Spanish-Language TV Shows,Eight thieves take hostages and lock themselves in the Royal Mint of Spain as a criminal mastermind manipulates the police to carry out his plan.
Money Heist: From Tokyo to Berlin,Luis Alfaro_ Javier Gómez Santander,2021,1 Season,Docuseries_ International TV Shows_ Spanish-Language TV Shows,"The filmmakers and actors behind ""Money Heist"" characters like Tokyo and the Professor talk about the emotional artistic process of filming the series."
Sharkdog,,2021,1 Season,Kids' TV,Half shark_ half dog with a big heart and a belly full of fish sticks! Together_ Sharkdog and his human pal Max can take on any silly or messy adventure.
Worth,Sara Colangelo,2021,119 min,Dramas,In the wake of the Sept. 11 attacks_ a lawyer faces an emotional reckoning as he attempts to put a dollar value on the lives lost. Based on real events.
Afterlife of the Party,Stephen Herek,2021,110 min,Comedies_ Romantic Movies,Cassie lives to party... until she dies in a freak accident. Now this social butterfly needs to right her wrongs on Earth if she wants to earn her wings.
Anjaam,Rahul Rawail,1994,143 min,Dramas_ International Movies_ Thrillers,A wealthy industrialist’s dangerous obsession with a flight attendant destroys her world_ until she takes matters into her own hands to exact revenge.
Bright Star,Jane Campion,2009,119 min,Dramas_ Romantic Movies,This drama details the passionate three-year romance between Romantic poet John Keats – who died tragically at age 25 – and his great love and muse.
Dhanak,Nagesh Kukunoor,2015,114 min,Comedies_ Dramas_ Independent Movies,A movie-loving 10-year-old and her blind little brother trek to meet Indian superstar Shah Rukh Khan for help in getting the boy an eye operation.
Final Account,Luke Holland,2021,94 min,Documentaries,This documentary stitches together never-before-seen interviews with the last living generation of people who participated in Hitler's Third Reich.
Gurgaon,Shanker Raman,2017,106 min,Dramas_ International Movies_ Thrillers,When the daughter of a wealthy family returns from college_ she gets a frosty welcome from her brother_ who has problems – and plans – of his own.
Here and There,JP Habac,2020,99 min,Dramas_ International Movies_ Romantic Movies,After meeting through a heated exchange on social media_ two people with different backgrounds begin an online romance in the midst of a pandemic.
Heroes of Goo Jit Zu,,2021,1 Season,Kids' TV_ TV Comedies,After a meteor crash_ a group of zoo animals transforms into squishy_ gooey and stretchy superheroes with special powers and soon takes on evildoers.
Hotel Del Luna,,2019,1 Season,International TV Shows_ Romantic TV Shows_ TV Comedies,When he's invited to manage a hotel for dead souls_ an elite hotelier gets to know the establishment's ancient owner and her strange world.
In the Cut,Jane Campion,2003,118 min,Thrillers,After embarking on an affair with the cop probing the murder of a young woman_ an insular schoolteacher suspects her lover was involved in the crime.
Luv Kushh,,2012,1 Season,Kids' TV,Based on the last book of the epic Ramayana_ this series follows the endeavors and adventures of Lord Rama’s twin sons through their childhood.
Pororo - The Little Penguin,,2013,3 Seasons,Kids' TV_ Korean TV Shows,On a tiny island_ Pororo the penguin has fun adventures with his friends Eddy the fox_ Loopy the beaver_ Poby the polar bear and Crong the dinosaur.
Q-Force,,2021,1 Season,Crime TV Shows_ TV Action & Adventure_ TV Comedies,A gay superspy and his scrappy LGBTQ squad fight to prove themselves to the agency that underestimated them. Today_ West Hollywood… tomorrow_ the world!
Shikara,Vidhu Vinod Chopra,2020,115 min,Dramas_ International Movies_ Romantic Movies,A couple must strive to remain resilient after regional hostilities drive them from their beloved home into a refugee camp.
A Cinderella Story,Mark Rosman,2004,95 min,Children & Family Movies_ Comedies,Teen Sam meets the boy of her dreams at a dance before returning to toil in her stepmother's diner. Can her lost cell phone bring them together?
Agatha Christie's Crooked House,Gilles Paquet-Brenner,2017,115 min,Dramas_ International Movies_ Thrillers,When a detective investigates the death of his ex-lover's grandfather_ he uncovers secrets about the tycoon's manipulative family.
An Unfinished Life,Lasse Hallström,2005,108 min,Dramas,A grieving widow and her daughter move in with her estranged father-in-law in Wyoming_ where time allows them to heal and forgive.
Barbie Big City Big Dreams,Scott Pleydell-Pearce,2021,63 min,Children & Family Movies_ Music & Musicals,At a summer performing arts program in New York City_ Barbie from Malibu meets Barbie from Brooklyn_ and the two become fast friends.
Blade Runner: The Final Cut,Ridley Scott,1982,117 min,Action & Adventure_ Classic Movies_ Cult Movies,"In a smog-choked dystopian Los Angeles_ blade runner Rick Deckard is called out of retirement to snuff a quartet of escaped ""replicants."""
Brave Animated Series,,2021,1 Season,International TV Shows_ TV Action & Adventure_ TV Comedies,A group of superheroes sets out to rid the world of evil — only to realize they may not be standing on the side of justice. Based on a popular comic.
Chappie,Neill Blomkamp,2015,121 min,Action & Adventure_ Sci-Fi & Fantasy,In a futuristic society where an indestructible robot police force keeps crime at bay_ a lone droid evolves to the next level of artificial intelligence.
Clear and Present Danger,Phillip Noyce,1994,142 min,Action & Adventure_ Dramas,When the president's friend is murdered_ CIA Deputy Director Jack Ryan becomes unwittingly involved in an illegal war against a Colombian drug cartel.
Cliffhanger,Renny Harlin,1993,113 min,Action & Adventure,Ranger Gabe Walker and his partner are called to rescue a group of stranded climbers_ only to learn the climbers are actually thieving hijackers.
Cold Mountain,Anthony Minghella,2003,154 min,Dramas_ Romantic Movies,This drama follows a wounded Civil War soldier making the long journey home_ while his faraway love fights for survival on her deceased father's farm.
Crocodile Dundee in Los Angeles,Simon Wincer,2001,95 min,Action & Adventure_ Comedies,"When Mick ""Crocodile"" Dundee and his family land in Los Angeles_ they soon learn some lessons about American life in this comedy sequel."
Dear John,Lasse Hallström,2010,108 min,Dramas_ Romantic Movies,While on summer leave_ a U.S. soldier falls for a college student. But when he's forced to reenlist_ their handwritten letters hold the lovers together.
Do the Right Thing,Spike Lee,1989,120 min,Classic Movies_ Comedies_ Dramas,On a sweltering day in Brooklyn_ simmering racial tensions between residents rise to the surface and ignite rage_ violence and tragedy.
El patrón_ radiografía de un crimen,Sebastián Schindel,2014,100 min,Dramas_ International Movies_ Thrillers,A lawyer defends an illiterate man whose exploitation by a cruel boss while working as a butcher in Buenos Aires led to tragedy. Based on a true case.
Extraction,Steven C. Miller,2015,82 min,Action & Adventure,When a retired CIA agent is kidnapped_ his son_ a government analyst_ embarks on an unauthorized mission to find him and halt a terrorist plot.
Freedom Writers,Richard LaGravenese,2007,124 min,Dramas,"While her at-risk students are reading classics such as ""The Diary of Anne Frank_"" a teacher asks them to keep journals about their troubled lives."
Green Lantern,Martin Campbell,2011,114 min,Action & Adventure_ Sci-Fi & Fantasy,Test pilot Hal Jordan harnesses glowing new powers for good when he wears an otherworldly ring and helps an intergalactic force stop a powerful threat.
House Party,Reginald Hudlin,1990,104 min,Comedies_ Cult Movies,Grounded by his strict father_ Kid risks life and limb to go to his best friend Play's big bash but experiences one obstacle after another.
House Party 2,George Jackson_ Doug McHenry,1991,94 min,Comedies_ Cult Movies_ Music & Musicals,Kid goes off to college with scholarship money but when Play loses Kid's tuition funds to a shady music promoter_ they devise a wild plan to raise cash.
House Party 3,Eric Meza,1994,94 min,Comedies_ Music & Musicals,After Kid gets engaged_ Play plans to throw the biggest bachelor party ever. But every celebration for these two always comes with complications.
How to Be a Cowboy,,2021,1 Season,Reality TV,Dale Brisby uses social media savvy and rodeo skills to keep cowboy traditions alive — and now he's teaching the world how to cowboy right_ ol' son.
HQ Barbers,Gerhard Mostert,2020,1 Season,TV Shows,When a family run barber shop in the heart of Lagos is threatened by real estate developers_ they'll do whatever it takes to stay in business.
